"TimeSpan","BlueTeam.min","RedTeam.min","OppositeTeam.min","BlueTeam.median","RedTeam.median","OppositeTeam.median","BlueTeam.max","RedTeam.max","OppositeTeam.max"
314,10,21.4,3.6,20,67.05,28.75,34,130,104.9
315,5.8,20.6,3,21.95,66.95,30.75,34.2,127.2,100.4
316,4.2,17.2,5,16.65,67,30.85,26.6,128,96.5
317,5,20,12,11.2,68.75,33.6,17.9,129.3,94.3
318,2,23.1,11.3,8.1,70,36.9,16.5,130.6,97.9
319,2.2,19.9,9,9.95,69.65,35,16.6,130.4,99.2
320,3.2,17.8,9.2,11.45,69.55,33.15,16.4,130.2,96.5
321,3.7,18.4,4,10,71.35,33.2,15.6,134.1,99.9
322,2.1,63.8,15.6,11.25,97.2,50,16.6,132.9,101.3
323,2.2,59.2,12.6,10.9,97.7,49,15.5,131.7,98.8
324,1,54.6,9.5,6.7,98.3,48,14,130.5,98.3
325,1,59.9,14.3,8.9,95.7,46.2,15.2,129.4,97.7
326,4,64.4,14.3,11,95.8,43.1,19,128.2,98.7
327,3.4,67.6,15.7,9.1,97,43.8,22.3,127.3,99.8
328,4.6,62.4,7.6,9.25,95.7,46.8,21.9,126.4,101.4
329,1.6,60.7,5,9.6,95.9,47.8,20.6,125.6,100.1
330,1.4,61.9,5.7,9,95.4,50.1,18.9,124.7,99.7
331,2.2,62.2,8.5,6.1,97.6,49.2,17.5,130.1,107.6
332,2.2,69.4,8.9,7.1,97.9,55.6,16.4,132.4,104.4
333,2.7,54.3,8.6,9.4,106.85,63.7,16.3,142.6,100.6
334,1.8,47.3,8.5,10.5,104,60.95,21.1,137.7,98.1
335,1,39,8.5,17,102.8,58.25,27.4,131.3,99.6
336,2.5,31.1,9.2,21,101.8,56.8,33.1,129.5,98.5
337,6.2,22.7,12.2,22.6,102.4,55.55,34.9,129.3,99.6
338,7.4,13.9,9.5,21.7,102.45,55.6,43.4,129.1,99.9
339,7.1,10.5,9.8,22.2,100.6,54.3,43.3,129.1,102.5
340,2.2,10.8,10.2,23.8,97.25,54.5,43.2,128.9,105.3
341,2.1,4.1,14.6,23.05,93.35,57.8,45.1,128.6,108.4
342,6,4,11.8,24.9,89.35,55.15,49,128.4,111.7
343,10,4,9.8,26.8,85.25,53.55,53,128.3,115.3
344,9.9,4.1,8.2,29,85.25,60.5,55.3,137.8,123.8
345,7.3,4.5,10.2,26.55,80.05,60.2,49.9,130.2,122.8
346,1.5,2,16.3,25.3,74.75,62.6,50.6,125.6,118.2
347,4.6,1.5,12.2,24.4,68.9,63.1,48.7,122.6,118
348,7.7,1,9.1,24.3,68.55,61.5,48.2,122.7,119.6
349,8,2.2,6.7,24.55,66.85,62,48,120.4,121.4
350,5.4,1,5.2,25.15,66.8,64.8,43,118,118.8
351,6.3,1.4,0.7,29.75,67.6,67,44,115.9,117.2
352,5,3.2,2,30.85,68.05,64.3,50,113.7,115.6
353,0.5,5.1,1.9,28.2,66.3,61.8,53,109.6,110.4
354,3.7,6.1,2,25.4,64.95,60.8,59,105.5,107.6
355,2,5,2.5,22.7,64.75,62,63.1,100.5,104.8
356,1.6,2.5,3.2,17.45,65.85,62.5,67.6,95.6,100.1
357,1.4,3.6,3.2,12.35,66.85,65.3,70.2,91.4,95.3
358,1.6,3.6,7.6,9.1,42.65,70.4,70.7,65.8,90.2
359,3.2,1.4,11.2,12.15,38.6,71.25,70.2,62.1,89.2
360,4.1,12.2,12.4,9.45,58.2,68.8,68.6,61.6,80.4
361,1.4,2.2,12.4,7.4,60.25,67.25,67.4,69,77.2
362,2.2,4,12,7.15,61,64.35,65,65.6,72.5
363,2.3,1,12,10.25,59.8,64,63.2,63.5,68.9
364,3.4,1,11.2,12.4,60.95,62.95,64,70,72.8
365,4.9,2.8,8.2,14.45,65.3,58.4,66.4,74,77.2
366,3.1,3,7.5,21.2,64.65,57.15,65.2,75.2,72.3
367,2.7,1.8,6.2,20.15,62.1,53.65,60.9,74,68.4
368,8.7,7.4,1.6,19.8,62.9,49.55,69.6,71.1,74.1
369,8.2,9.9,3.6,21.55,63.55,43.55,66.7,72,73.2
370,6.9,4,8.5,18.3,63.65,39.5,63.8,69,70.5
371,1.4,1.4,11.2,20.8,59.5,35,57.6,62.1,64.6
372,5.4,4.5,7.2,17.75,57.1,30.95,51,63,59.1
373,3.6,3.6,2.2,15.55,54.85,33.25,58.1,68,64.3
374,3.7,3.6,2,10,59.05,31.8,16.1,66.1,64.1
375,3.5,3.2,5.7,8.65,63.35,33.25,17.2,67.3,66.1
376,2.2,5.1,9.1,8.9,63.95,33.65,17.8,72.3,70.3
377,1.8,5.1,5.8,8.6,61.5,35.15,14.5,70.3,70.3
378,2.8,4.1,6.9,10.6,61.6,34.85,13.8,65.3,68.1
379,3.2,3.6,3.6,8.25,65.9,37.25,15.6,67.7,68.1
380,2.2,5,6.3,8.65,64.85,35.6,14.1,73.4,71
381,1.4,3.6,8.8,6.8,69.4,37.3,12.8,75.5,72
